

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     0.04170  0.000000E+00  0.100080E-03  0.112700E-05  0.217622E-03 -0.280800E-06   -931.841  -6737.988  -1328.690       1
     0.08330  0.000000E+00  0.100080E-03  0.286225E-05  0.380510E-03 -0.560927E-06   -979.099  -6674.135  -1328.690       2
     0.12500  0.000000E+00  0.100080E-03  0.420509E-05  0.540528E-03 -0.841728E-06  -1036.976  -6615.008  -1328.690       3
     0.16670  0.000000E+00  0.100080E-03  0.543905E-05  0.697511E-03 -0.112253E-05  -1089.085  -6559.985  -1328.690       4
     0.20830  0.000000E+00  0.100080E-03  0.655043E-05  0.851396E-03 -0.140266E-05  -1136.022  -6508.719  -1328.690       5
     0.25000  0.000000E+00  0.590472E-02  0.595003E-05  0.394661E-02 -0.168346E-05  -1182.628  -6556.535  -1328.690       6
     0.29170  0.000000E+00  0.234187E-01 -0.646234E-05  0.888549E-02 -0.196426E-05  -1227.768  -6654.042  -1328.690       7
     0.33330  0.000000E+00  0.417893E-01 -0.605633E-05  0.134787E-01 -0.224438E-05  -1288.204  -6763.675  -1328.690       8
     0.37500  0.000000E+00  0.559006E-01 -0.564933E-05  0.177679E-01 -0.252518E-05  -1349.536  -6864.961  -1328.690       9
     0.41670  0.000000E+00  0.693113E-01 -0.525702E-05  0.217747E-01 -0.280598E-05  -1408.652  -6957.589  -1328.690      10
     0.45830  0.000000E+00  0.997625E-01 -0.487305E-05  0.255220E-01 -0.308611E-05  -1464.896  -7042.776  -1328.690      11
     0.50000  0.000000E+00  0.136892E+00 -0.449716E-05  0.290322E-01 -0.336691E-05  -1518.346  -7122.354  -1328.690      12
     0.54170  0.000000E+00  0.172621E+00 -0.413226E-05  0.323434E-01 -0.364771E-05  -1574.469  -7195.589  -1328.690      13
     0.58330  0.000000E+00  0.198879E+00 -0.367147E-05  0.354569E-01 -0.392784E-05  -1644.443  -7263.018  -1328.690      14
     0.62500  0.000000E+00  0.209587E+00 -0.321891E-05  0.383988E-01 -0.420864E-05  -1712.349  -7324.594  -1328.690      15
     0.66670  0.000000E+00  0.217994E+00 -0.277613E-05  0.412048E-01 -0.448944E-05  -1777.593  -7380.881  -1328.690      16
     0.70830  0.000000E+00  0.224983E+00 -0.235783E-05  0.438734E-01 -0.476957E-05  -1839.995  -7432.890  -1328.690      17
     0.75000  0.000000E+00  0.230587E+00 -0.195792E-05  0.464271E-01 -0.505037E-05  -1899.675  -7480.805  -1328.690      18
     0.79170  0.000000E+00  0.234690E+00 -0.357445E-06  0.486839E-01 -0.533117E-05  -1956.181  -7517.962  -1328.690      19
     0.83330  0.000000E+00  0.237286E+00  0.498932E-05  0.501758E-01 -0.561129E-05  -2028.941  -7528.549  -1328.690      20
     0.87500  0.000000E+00  0.239388E+00  0.591247E-05  0.514153E-01 -0.589209E-05  -2100.706  -7520.329  -1328.690      21
     0.91670  0.000000E+00  0.240789E+00  0.911222E-05  0.522983E-01 -0.617289E-05  -2168.933  -7503.790  -1328.690      22
     0.95830  0.000000E+00  0.241688E+00  0.118298E-04  0.529237E-01 -0.645302E-05  -2233.392  -7476.146  -1328.690      23
     1.00000  0.000000E+00  0.243089E+00  0.127133E-04  0.538019E-01 -0.673382E-05  -2296.135  -7458.521  -1328.690      24
end
