 ******* Program HYDRUS
 ******* Example 2 - Grass Field Problem (Hupselse Beek 1982)                    
 Date: ***.**.    Time: ***: 0:**
 Units: L = cm   , T = days , M = -    


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -1328.690 0.1185   0.6734E-05  0.1733E-04 -0.9188E-02  0.9616E-03      -1  -0.368E-03   20.00
   2    -1.0000   -3847.580 0.1003   0.1767E-06  0.3274E-05 -0.4723E-02  0.6235E-02      -1  -0.189E-03   20.00
   3    -2.0000  -12043.922 0.0897   0.3478E-08  0.5460E-06 -0.3706E-03 -0.1049E-02      -1  -0.148E-04   20.00
   4    -3.0000  -12946.835 0.0893   0.2720E-08  0.4877E-06 -0.1427E-05 -0.1777E-02      -1  -0.572E-07   20.00
   5    -4.0000  -12965.022 0.0893   0.2707E-08  0.4867E-06 -0.4181E-07 -0.1626E-02      -1  -0.167E-08   20.00
   6    -5.0000  -12975.694 0.0893   0.2699E-08  0.4860E-06 -0.5962E-07 -0.1646E-02      -1  -0.239E-08   20.00
   7    -6.0000  -13007.312 0.0892   0.2677E-08  0.4842E-06 -0.3907E-08 -0.1031E-02      -1  -0.157E-09   20.00
   8    -7.0000  -12976.598 0.0893   0.2699E-08  0.4860E-06  0.2887E-07 -0.1514E-02      -1   0.116E-08   20.00
   9    -8.0000  -12983.802 0.0893   0.2694E-08  0.4856E-06 -0.1274E-07 -0.1436E-02      -1  -0.510E-09   20.00
  10    -9.0000  -12984.047 0.0893   0.2693E-08  0.4856E-06 -0.2735E-07 -0.1446E-02      -1  -0.110E-08   20.00
  11   -10.0000  -13002.153 0.0893   0.2681E-08  0.4845E-06 -0.2978E-07 -0.7087E-03      -1  -0.119E-08   20.00
  12   -11.0000  -13004.219 0.0892   0.2679E-08  0.4844E-06 -0.2236E-08 -0.8531E-03      -1  -0.896E-10   20.00
  13   -12.0000  -13001.822 0.0893   0.2681E-08  0.4845E-06 -0.1232E-08 -0.9134E-03      -1  -0.494E-10   20.00
  14   -13.0000  -13003.138 0.0892   0.2680E-08  0.4844E-06 -0.2572E-08 -0.8633E-03      -1  -0.103E-09   20.00
