 ******* Program HYDRUS
 ******* 
 Example 2 - Grass Field Problem (Hupselse Beek 1982)                    
 Date:  25. 8.2022    Time:  16:35:25
 Units: L = cm   , T = days , M = -    


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    2        2    -4    -5     T
        2  0.2300000E-02  0.13000E-02    2        4    -4    -5     T
        3  0.3990000E-02  0.16900E-02    2        6    -4    -5     T
        4  0.6187000E-02  0.21970E-02    2        8    -4    -5     T
        5  0.9043100E-02  0.28561E-02    2       10    -4    -5     T
        6  0.1266794E-01  0.36248E-02    2       12    -4    -5     T
        7  0.1750106E-01  0.48331E-02    2       14    -4    -5     T
        8  0.2354246E-01  0.60414E-02    2       16    -4    -5     T
        9  0.3260457E-01  0.90621E-02    2       18    -4    -5     T
       10  0.4166667E-01  0.90621E-02    2       20    -4    -5     T
       11  0.4170000E-01  0.33330E-04    2       22    -4    -5     T
       12  0.5170000E-01  0.10000E-01    2       24    -4    -5     T
       13  0.6170000E-01  0.10000E-01    2       26    -4    -5     T
       14  0.7170000E-01  0.10000E-01    2       28    -4    -5     T
       15  0.7750000E-01  0.58000E-02    2       30    -4    -5     T
       16  0.8330000E-01  0.58000E-02    2       32    -4    -5     T
       17  0.8333333E-01  0.33330E-04    2       34    -4    -5     T
       18  0.9333333E-01  0.10000E-01    2       36    -4    -5     T
       19  0.1033333E+00  0.10000E-01    2       38    -4    -5     T
       20  0.1133333E+00  0.10000E-01    2       40    -4    -5     T
       21  0.1191667E+00  0.58333E-02    2       42    -4    -5     T
       22  0.1250000E+00  0.58333E-02    2       44    -4    -5     T
       23  0.1350000E+00  0.10000E-01    2       46    -4    -5     T
       24  0.1450000E+00  0.10000E-01    2       48    -4    -5     T
       25  0.1550000E+00  0.10000E-01    2       50    -4    -5     T
       26  0.1608333E+00  0.58333E-02    2       52    -4    -5     T
       27  0.1666667E+00  0.58333E-02    2       54    -4    -5     T
       28  0.1667000E+00  0.33330E-04    2       56    -4    -5     T
       29  0.1767000E+00  0.10000E-01    2       58    -4    -5     T
       30  0.1867000E+00  0.10000E-01    2       60    -4    -5     T
       31  0.1967000E+00  0.10000E-01    2       62    -4    -5     T
       32  0.2025000E+00  0.58000E-02    2       64    -4    -5     T
       33  0.2083000E+00  0.58000E-02    2       66    -4    -5     T
       34  0.2083333E+00  0.33330E-04    2       68    -4    -5     T
       35  0.2183333E+00  0.10000E-01    2       70    -4    -5     T
       36  0.2283333E+00  0.10000E-01    2       72    -4    -5     T
       37  0.2383333E+00  0.10000E-01    2       74    -4    -5     T
       38  0.2441667E+00  0.58333E-02    2       76    -4    -5     T
       39  0.2500000E+00  0.58333E-02    2       78    -4    -5     T
       40  0.2600000E+00  0.10000E-01    2       80    -4    -5     T
       41  0.2700000E+00  0.10000E-01    2       82    -4    -5     T
       42  0.2800000E+00  0.10000E-01    2       84    -4    -5     T
       43  0.2858333E+00  0.58333E-02    2       86    -4    -5     T
       44  0.2916667E+00  0.58333E-02    2       88    -4    -5     T
       45  0.2917000E+00  0.33330E-04    2       90    -4    -5     T
       46  0.3017000E+00  0.10000E-01    2       92    -4    -5     T
       47  0.3117000E+00  0.10000E-01    2       94    -4    -5     T
       48  0.3217000E+00  0.10000E-01    2       96    -4    -5     T
       49  0.3275000E+00  0.58000E-02    2       98    -4    -5     T
       50  0.3333000E+00  0.58000E-02    2      100    -4    -5     T
       51  0.3333333E+00  0.33330E-04    2      102    -4    -5     T
       52  0.3433333E+00  0.10000E-01    2      104    -4    -5     T
       53  0.3533333E+00  0.10000E-01    2      106    -4    -5     T
       54  0.3633333E+00  0.10000E-01    2      108    -4    -5     T
       55  0.3691667E+00  0.58333E-02    2      110    -4    -5     T
       56  0.3750000E+00  0.58333E-02    2      112    -4    -5     T
       57  0.3850000E+00  0.10000E-01    2      114    -4    -5     T
       58  0.3950000E+00  0.10000E-01    2      116    -4    -5     T
       59  0.4050000E+00  0.10000E-01    2      118    -4    -5     T
       60  0.4108333E+00  0.58333E-02    2      120    -4    -5     T
       61  0.4166667E+00  0.58333E-02    2      122    -4    -5     T
       62  0.4167000E+00  0.33330E-04    2      124    -4    -5     T
       63  0.4267000E+00  0.10000E-01    2      126    -4    -5     T
       64  0.4367000E+00  0.10000E-01    2      128    -4    -5     T
       65  0.4467000E+00  0.10000E-01    2      130    -4    -5     T
       66  0.4525000E+00  0.58000E-02    2      132    -4    -5     T
       67  0.4583000E+00  0.58000E-02    2      134    -4    -5     T
       68  0.4583333E+00  0.33330E-04    2      136    -4    -5     T
       69  0.4583334E+00  0.40000E-07    2      138    -4    -5     T
       70  0.4683334E+00  0.10000E-01    4      142    -4    -5     T
       71  0.4783334E+00  0.10000E-01    2      144    -4    -5     T
       72  0.4883334E+00  0.10000E-01    2      146    -4    -5     T
       73  0.4941667E+00  0.58333E-02    2      148    -4    -5     T
       74  0.5000000E+00  0.58333E-02    2      150    -4    -5     T
       75  0.5100000E+00  0.10000E-01    2      152    -4    -5     T
       76  0.5200000E+00  0.10000E-01    2      154    -4    -5     T
       77  0.5300000E+00  0.10000E-01    2      156    -4    -5     T
       78  0.5358333E+00  0.58333E-02    2      158    -4    -5     T
       79  0.5416667E+00  0.58333E-02    2      160    -4    -5     T
       80  0.5417000E+00  0.33330E-04    2      162    -4    -5     T
       81  0.5517000E+00  0.10000E-01    2      164    -4    -5     T
       82  0.5617000E+00  0.10000E-01    2      166    -4    -5     T
