node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 1 1 0.0000 0.0000 -2.0000 -0.0120 0.0172 -2.0978 0.0255 0.0469 63.0000 1 2 1  
1 2 1 -0.0120 0.0172 -2.0978 -0.1292 0.2051 -3.0729 0.0255 0.5176 63.0000 1 2 1  
2 3 1 -0.1292 0.2051 -3.0729 -0.1313 0.2085 -3.0907 0.0255 0.5262 63.0000 1 2 1  
0 549 2 0.0000 0.0000 -2.0000 0.0514 -0.0541 -2.0666 0.0183 0.5763 62.5000 4 2 2  
3 4 1 -0.1313 0.2085 -3.0907 -0.2061 0.2682 -4.0861 0.0255 1.0002 63.0000 1 2 1  
4 5 1 -0.2061 0.2682 -4.0861 -0.2123 0.2721 -4.1572 0.0255 1.0341 63.0000 1 2 1  
0 604 3 0.0000 0.0000 -2.0000 -0.0125 -0.0628 -2.0768 0.0170 1.0700 62.0000 4 2 3  
5 6 1 -0.2123 0.2721 -4.1572 -0.2184 0.3652 -5.1528 0.0255 1.5117 63.0000 1 2 1  
6 7 1 -0.2184 0.3652 -5.1528 -0.2198 0.3686 -5.2055 0.0255 1.5370 63.0000 1 2 1  
0 704 4 0.0000 0.0000 -2.0000 0.0570 -0.0072 -2.0818 0.0186 1.5538 61.5000 4 2 4  
549 550 2 0.0514 -0.0541 -2.0666 0.7016 -0.7811 -3.1009 0.0183 1.6969 62.5000 4 2 2  
7 8 1 -0.2198 0.3686 -5.2055 -0.2734 0.4115 -6.1526 0.0255 1.9937 63.0000 1 2 1  
604 605 3 -0.0125 -0.0628 -2.0768 -0.5155 -0.8865 -3.2684 0.0170 2.1812 62.0000 4 2 3  
704 705 4 0.0570 -0.0072 -2.0818 0.5758 -0.1318 -3.4758 0.0186 2.3841 61.5000 4 2 4  
8 9 1 -0.2734 0.4115 -6.1526 -0.2564 0.4457 -7.0920 0.0255 2.4489 63.0000 1 2 1  
9 10 1 -0.2564 0.4457 -7.0920 -0.2111 0.3950 -8.0271 0.0255 2.9059 63.0000 1 2 1  
550 551 2 0.7016 -0.7811 -3.1009 1.3423 -1.5477 -4.2438 0.0183 2.9737 62.5000 4 2 2  
705 706 4 0.5758 -0.1318 -3.4758 1.0762 -0.2451 -4.8776 0.0186 3.2699 61.5000 4 2 4  
605 606 3 -0.5155 -0.8865 -3.2684 -1.0712 -1.6221 -4.4628 0.0170 3.3499 62.0000 4 2 3  
1 133 341 -0.0120 0.0172 -2.0978 -0.1040 -0.0182 -2.1151 0.0110 3.3846 60.1510 3 2 341  
10 11 1 -0.2111 0.3950 -8.0271 -0.2069 0.4121 -9.0246 0.0255 3.3956 63.0000 1 2 1  
11 12 1 -0.2069 0.4121 -9.0246 -0.1845 0.4480 -9.9468 0.0255 3.8517 63.0000 1 2 1  
5 156 348 -0.2123 0.2721 -4.1572 -0.1752 0.3615 -4.1822 0.0081 4.1974 59.1222 3 2 348  
706 707 4 1.0762 -0.2451 -4.8776 1.4817 -0.0811 -6.3751 0.0186 4.2638 61.5000 4 2 4  
12 13 1 -0.1845 0.4480 -9.9468 -0.1612 0.4430 -10.8154 0.0255 4.2840 63.0000 1 2 1  
551 552 2 1.3423 -1.5477 -4.2438 1.7428 -2.2036 -5.4842 0.0183 4.2901 62.5000 4 2 2  
606 607 3 -1.0712 -1.6221 -4.4628 -1.7630 -2.3542 -5.6163 0.0170 4.6235 62.0000 4 2 3  
